店名,營業時間,連絡電話,區域,地址,評論
阿成炒麵,06:30～13:00（每週日、一公休）,無,大里區,台中市大里區益民路二段238號,如果提到台中炒麵，不少大里的朋友都會推薦這間阿成炒麵，阿成炒麵位在益民路與東榮路交叉口附近，距離興大附中也相當近，可以說是在地人早午餐的首選之一，生意十分不錯，用餐尖峰時段甚至還要排隊呢！
晨光手作料理坊,每日09:30～15:30,04-2496-5536,大里區,台中市大里區大里路59之3號,上千則評論高達4.9星的超人氣早午餐晨光手作料理坊，有早午餐、排餐、義大利麵、沙拉、燉飯，餐點選擇非常多樣化，能一次滿足長輩、小孩們的口味，難怪很受在地人喜愛，點冬瓜茶還可以續杯，停車也方便，推薦大家來試試～
甌森廚房,06:30～14:00（每週四公休）,04-2407-3122,大里區,台中市大里區國光路二段145號,不論是想吃個豐盛的早午套餐，還是來點蛋餅、漢堡、沙拉、炸物小點心果腹，甌森廚房一應俱全，價格也不算太貴，用餐空間舒適還提供免費無線網路，鄰近國光花市、大里運動公園，吃完就可以到附近走走挺便利的，同時也是寵物友善餐廳喔~
台中燒餅油條30年老店,每日05:30～10:30,04-2278-8453,太平區,台中市太平區太平路318號,主打傳統早餐，吃的到燒餅油條外，還有鍋貼、水煎包等，想在早上飽餐一頓絕對沒問題，不僅這樣台中燒餅油條30年老店價格超級便宜，CP值超級高～
炭騷超營養烤吐司,06:30～11:30（每週二、六公休）,0918-374-355,太平區,台中市太平區樹孝路196號,店家雞腿醃漬過處理，不用擔心沒味道，而吐司的配料有番茄、生菜、蛋等，而吐司部分有碳烤過，所有著一定的香氣，一大口吃得爽度一百，雞腿香氣相當濃郁，鹹味被番茄跟生菜綜合掉，所以不擔心死鹹，而店家最後撒上的胡椒粒讓豐富的味道迷人。
郭阿姨飯糰,05:30～11:00（每週三公休）,無,太平區,台中市太平區太平路406號322號&太平二十街口,經營了30年老店，價格相當平易近人，米飯吃起來Q彈，搭著配料可是滿滿的豐富，這間郭阿姨飯糰可是在太平陪伴不少人從小吃到大的太平早餐。
集瀧塘豆漿,06:30～14:00（每週一公休）,04-2291-9607,北屯區,台中市北屯區大鵬路40號,水湳市場旁的「集瀧塘豆漿」是在地超人氣的傳統早餐店，賣的都是中式傳統餐點為主，有水煎包、功夫煎肉包、蔥蛋餅、蔥大餅、甜酥餅、鍋貼、蘿蔔糕…等，堆成像小山一樣，看起來非常誘人。
肉蛋吐司紅茶牛奶,每日06:30～13:30,0938-288-060,北區,台中市北區中華路二段199-4號,肉蛋吐司紅茶牛奶就位於中友百貨及一中街附近，主打碳烤招牌肉但吐司！用炭火烤的微焦酥脆的吐司，塗抹上一層薄薄的美乃滋，夾入微厚煎至如同玉子燒般蓬鬆軟嫩的散蛋，與經過特製醬料醃漬過的大塊肉排，令人一口接著一口停不下來！
森沐MSM（原早安森沐）,09:00～15:00，週六、日09:00~17:00（每週二公休）,04-2236-8008,北區,台中市北區益華街79號,若想要放鬆、悠閒的吃一頓精緻豐盛高質感的早午餐，那麼推薦這間「森沐MSM」，隱藏於住宅區的巷弄當中，店內採木質設計裝潢，大片落地玻璃將陽光自然帶入，採光極佳，可一邊眺望街景一邊享用美味餐點。
LOWCA 勞咖,08:30～14:30（每週三公休），週六、日08:30～15:30,0911-487-043,西屯區,台中市西屯區西屯路二段272-18號,大推他們的「根本靈魂伴侶」！！！外皮炸得酥酥脆脆，淋上滿滿的煉乳，咬下去內層是鬆軟的饅頭香氣，每一口都好罪惡，但每一口都捨不得停下來～
拾陌 Shihmo,06:30～14:00（每週一公休）,04-2317-2109,西屯區,台中市西屯區櫻城五街5號,隱身於逢甲商圈的美式早午餐店，單看外表的話會以為是一間網美餐廳，文青風的感覺～光門口就超級好拍!!不過內部裝潢出乎意料，是偏向工業風格的設計！內部空間不大，但裝飾得非常用心。
魚吃土。手作三文治。,每日06:30～13:30,0918-374-448,西屯區,台中市西屯區上仁街99號,芋泥控、起司控、喜歡拍美食照讀者們的天堂就在這裡！這間位於巷弄內的魚吃土。手作三文治。主打黑色竹炭吐司與漢堡，及波羅包和酥皮蛋餅，招牌必點菜單就是花醬蛋很厚吐司加起司、芋泥蛋餅和與芋泥草莓烤吐司，餐點一上桌馬上驚呼連連！
Jerry's House ,每日09:30～17:30,04-2251-6279,西屯區,台中市西屯區市政北二路305號,澳式經典料理重新回歸，新址空間更大、位置更多，喜歡澳洲藍帶主廚Jerry的澳式早午餐美食，店家已經開放預約訂位囉!
Solar Table 於光,09:00～15:00，週六、日09:00~17:00（每週二公休）,04-2320-2302,南屯區,台中市南屯區大進街697號,菜單真的是隨便點都好吃，早午餐食材都選得很好，生菜沙拉更是自家菜園種植，不僅營養好吃更是健康，毫無疑問值得五星推薦！
自製早餐店,06:00～12:30（每週三公休）,04-2372-0132,西區,台中市西區永成街45號,老闆將10年五星級飯店所學經歷運用在製作早餐上，嚴選新鮮食材，融合中西式的創新，甚至還能客製化，自己選擇搭配吐司、漢堡及蛋餅的食材組合，每次來都能挑戰不同的新菜單！店家也有提供Line官方預約訂餐外帶服務，適合一早就要起床趕路的朋友們！。
蘇媽媽蛋餅,07:00～12:00 （每週二公休）,無,西區,台中市西區中美街605號,隱藏在台中科博館附近巷弄中的美食！其中九層塔蛋餅是蘇媽媽蛋餅的招牌料理！蘇媽媽還會開發一些口味獨特的每日特餐蛋餅，像是宜蘭鴨賞蛋餅、薯餅玉筍雪花豬、鳳梨蝦球蛋餅等，使用顛覆大家想像的配料，超大份量又美味地令人驚艷，吃一個就非常有飽足感！
Burger Bus 漢堡巴士,08:00～15:00（週六、日營業至16:00、週一、二公休）,04-2211-4131,東區,台中市東區旱溪東路一段306號,Burger Bus 漢堡巴士是位於旱溪旁的一間英式漢堡店，整間店都充滿著濃濃的英國氣息，還有打卡必拍的9¾月台，哈利波特迷絕對必訪！
Zha Deng渣凳,09:00～16:00 （每週一公休）,04-2360-9323,東區,台中市東區力行路80-6號,Zha Deng Brunch 渣凳位於力行國小天橋下旁，店內的風格是很有個人特色的個性工業風，還有裸磚牆非常特別又好拍~很多人都會點它們的熱壓巧巴達系列，將麵包熱壓到上面出現深深的壓紋，外皮酥脆有嚼勁，裡面的餡料更是毫不手軟，簡直是爆漿的程度呢！
庫房煎粿,09:00～15:00（每週二、三公休）,0958-696-758,東區,台中市東區力行路85號,庫房煎粿不同於一般的早午餐店是以西式早午餐為主，而是以中式早午餐結合創意的西式料理手法，非常推薦給喜歡不一樣口味的你。糕粿類的套餐有菜頭粿、芋頭鹹粿、肉燥鹹粿等，雖然主食是以中式方式呈現，但附上的配餐卻像是西式的早午餐拼盤~
小時候蛋餅高工店,05:30～12:30（每週一公休）,無,南區,台中市南區高工路140號,位於台中高工及僑泰中學附近的小時候蛋餅，口感為古早味蛋餅，但夾入蛋餅中的餡料非常創新又好吃！光是蛋餅種類就有23種。蘿蔔糕切成小塊酥炸至外酥內軟，非常銷魂，其他還有炒麵、可頌等豐富菜單，每次都有不同的新選擇！
老陳燒餅,06:00～11:00（每週一公休）,04-2265-0627,南區,台中市南區美村路二段143號,傳承自南投70年老店，烤至酥脆的燒餅不只能夾傳統的蔥蛋，總共有16種不同的食材可以選擇夾入燒餅當中！搭配上一杯濃郁又清爽的豆漿，讓旅客們從一早就從美味的早餐得到滿滿元氣！
卯食,06:30～14:00（每週二公休）,04-2513-2899,豐原區,台中市豐原區水源路350號,卯食堂MOUTH主打的商品就是台版烤吐司，裡頭有很多種台式風格的烤吐司系列，有自製的花生醬風味，韓式的酸辣泡菜，當然也有甜味抹抹的厚片吐司系列，當然還有很台的麵線羹，貪心一點還有提供炸物點心！
進宅吐司,06:30～14:00（每週三公休）,04-2522-0822,豐原區,台中市豐原區圓環東路569號,台中浮誇系早午餐又多一間！豐原近期新開幕進宅吐司早餐店，主打手作漢堡、吐司跟麵線，進宅吐司有許多自己研發的創意菜色，用料實在，視覺上也充滿創意。
告胖早午餐,06:00～12:00（每週日公休）,0908-956-948,沙鹿區,台中市沙鹿區北勢東路800號,店內環境乾淨明亮，不但餐點好吃、寵物友善、對客人也是親切熱情、笑容可掬親、店內明亮寬敞；用餐氛圍舒服。
貪食早午餐,06:00～14:00（每週一公休）,04-2633-6882,沙鹿區,台中市沙鹿區自立路336-1號,老闆可是做了有早餐店有九年的經驗，店面是用很原色木頭的溫馨的方式，不走現在大家喜歡的浮誇系!!但是料好實在才是重要的!!
大甲城燒餅,每日05:15～12:30,04-2687-2011,大甲區,台中市大甲區順天路146號,主打手工現做燒餅，內餡紮實有料，現烤出爐非常酥，一份就很有飽足感。另外也有吐司、蛋餅、油條等傳統早餐可以選擇，大甲媽繞境想吃早餐，這間是不錯的選擇。
欣欣來早茶,每日06:00～12:15,04-2680-3543,大甲區,台中市大甲區大安港路184號,大甲早午餐店推薦『欣欣來早茶』的早餐只有你想不到，沒有你找不到！有時候還會推出意想不到的私房餐點，讓吃早午餐變成一件充滿新鮮感的事情。
阿富小籠湯包,06:00～11:30（每週一公休）,無,大甲區,台中市大甲區中山路一段972號,不僅是因「現做」而美味，他們做湯包的手法、技巧也是沒有話說，每一個崗位都各司其職，做得很快而且每一顆都捏得好薄哦！
清水燒炸粿,06:00～13:00（每週二、三公休）,0923-552-556,清水區,台中市清水區光華路206號,老闆秉持父親傳承的古早味，只使用純在來米及新鮮食材，並以純手工製作，雖賣的是肉炸、蚵炸、鹹粿及甜米糕等油炸物卻一點也不油，若再佐以老闆特製的蒜泥醬油和辣椒醬食用，風味更佳！
大秀米血,06:30～12:00（每週一公休）,0905-713-853,清水區,台中市清水區南社路260號,米血炸的外面微酥，裡面吃起來QQ軟軟的，別於一般炸物店都只撒上胡椒粉外，老闆還會淋上特製的獨家沾醬，鹹甜的風味吃起來更加唰嘴。
士官長擀麵,06:30～13:00、週六、日08:00~13:00（每週三公休）,04-2626-6618,清水區,台中市清水區中社路5-37號,不只在地人，就連外地人也願意起大早飛奔過去吃的手工擀麵，想吃到真的不容易，不管平假日人潮都多到爆，麵條是手工現擀，偏粗體麵條，Q勁十足。