店名,營業時間,連絡電話,區域,地址,評論,,
小陳故事多,午餐 11:30-14:00 / 晚餐 17:30-21:00,04-2326-0963,北區,台中市北區西屯路一段 245 號,店內特色咖哩改良自 Nyonya 咖哩（娘惹咖哩），醬料充滿辛香料調味、口味稍重，帶有濃濃的南洋風情。,,
天津路無名炒麵 綜合湯,每日03:30–14:00，週一公休,04-2293-1291,北區,台中市北區天津路二段4號,內行人都知道要點綜合麵，就是一半炒麵一半米粉，上頭還有淋上鹹香的肉燥，十分美味。,,
山河魯肉飯,每日05:30–15:00，週三公休,04-2220 6995,中區,台中市中區公有第二零售市場,山河的肥瘦約一半一半，滷得非常入味，米粒是比較粒粒分明的口感，讓人吃完還想再吃一碗。,,
三代福州意麵,每日8:00–18:30，週三公休,04-2220 4335,中區,台中市中區三民路二段1之7號,Q彈有勁的乾意麵，淋上滿滿的肉燥卻不會過油，也推薦麻醬麵，因為芝麻的香氣實在太香了~麵條很Q不軟爛。,,
楊媽媽立食,每日11:00–16:00，週一公休,04-2222 261,中區,台中市中區三民路二段第二市場34號,推薦的有比目魚側邊肉、安康魚豆腐(是用魚漿做成的豆腐哦)、干貝檸檬(完整大干貝!),,
嵐肉燥專賣店,每日9:00–15:00，週一公休,04-2222 601,中區,台中市中區三民路二段36.37攤位號第二市場,菜單的品項都推薦，肉燥得過台中滷肉飯節獎項的，滷得很透，肥瘦比例剛剛好。,,
顏記肉包,每日8:00–17:30,04-2225 323,中區,台中市中區三民路二段103號,包子是手工現製，雖不是皮薄餡多(皮還是有點厚度)，但是皮很Q，是好吃的皮~內餡黑豬肉、蔥、筍子也是料多實在。,,
順口香麥仔煎,每日10:00-18:00,09-33 452 947,南區,台中市南區民意街 第三市場A54號,甜的口味有紅豆、花生，鹹的則是高麗菜、菜脯，推薦大家點「高麗菜」口味，麥仔煎本身的澱粉甜味配上微鹹的高麗菜，鹹甜鹹甜真的超級古早味。,,
大麵羹,每日08：00~15：00，週一公休,04-881 2357,南區,台中市南區和平街13號附近,湯頭滿有味道的，加了油蔥酥又更重口味了一些，有一些韭菜、蘿蔔乾，一碗簡單的大麵羹輕輕鬆鬆就解決一餐。,,
向陽東坡蛋黃鮮肉包,每日11:00~19:00,04–22853636,南區,中市南區信義南街358號,肉包都是每日現蒸，除了蛋黃，還有香菇、東坡肉包，以及各式口味的饅頭。,,
天津苟不理湯包,每日05:00～11:30，週一公休,04-2220-1790,東區,台中市東區信義街63號,咬下臭豆腐後，可以發現酥脆的外皮只有薄薄一層，裡頭卻是柔軟有汁的，加上泡菜簡直絕配。,,
米其鴨肉飯,每日11:00~20:00,0979-578-262,東區,台中市東區進化路272-2號,鴨肉都是採用當天新鮮的鴨肉，經過水煮再悶過，鴨肉絲軟嫩不柴，搭配店家特製醬汁，鹹香迷人。,,
粉圓冰 大麵羹,每日12:00-18:00，週六公休,無,東區,台中市東區建德街22號,大麵羹煮得很爛，入口即化，越爛越入味，加入油蔥酥及蝦米讓湯頭更香更好喝，也很推薦粉圓冰。,,
樂群蚵仔粥,每日10:30–20:30，週一公休,04-2372 7798,西區,台中市西區樂群街80,"屬於「湯泡飯」類型的稀飯，粒粒分明的蚵仔粥絕對能滿足你，湯喝起來很鮮，加上芹菜與油蔥酥，很夠味。",,
阿彬爌肉飯,每日6:30–14:00,04-2228 7408,西區,台中市西區樂群街41號,推薦三層肥肉，帶點油花juicy的口感才是爌肉飯的精髓。,,
裹腹 Grab Food Brunch,每日09:30～15:00,04-2326-8001,西區,台中市西區華美街478-1號,店內不僅有提供各式早午餐套餐，也有各式甜點與飲品，用餐選擇也多，假日可能一位難求，如果想來建議先行訂位。,,
攜旺 cafe 台中寵物餐廳,每日12:00～19:30，週一、二公休,0936-936-736,西區,台中市西區公益路117-3號,店內販售帕尼尼、溫沙拉、義大利麵、棉花糖吐司及招牌的寵物鮮食等，還有浪浪們化身為狗店員幫忙送菜單、收東西、開門等服務。,,
Nago Nago 寵物友善餐廳,每日10:00～17:00,04-2426-9915,北屯區,台中市北屯區同榮路93號,餐點以輕爽無負擔的燕麥優格、蝴蝶麵套餐、輕食三明治為主。單點一杯飲品即可在一樓互動區與狗店長們耍廢玩耍。,,
可口牛肉麵,"午餐11:00-14:00 / 晚餐 16:30-20:00",04-2329-9789,西屯區,"台中市西屯區大墩路911號大墩18街口",招牌紅燒牛肉麵的湯頭清甜，色深但不油膩。,,
森林小徑 寵物親子友善餐廳,每日11:30～21:30,04-2310-0638,西屯區,台中市西屯區大容西街53號,"餐點主打早午餐、義式料理、鍋物、火山鬆餅以及素食選項，也有毛小孩專屬的寵物餐及兒童餐顧及所有族群，店內佈置採取與店名一致的大自然風。",,
曙光居蔬食料理,午餐11:30-14:00 / 晚餐17:00-21:00/(日)公休,04-2329-2322,西屯區,台中市西屯區大墩十八街104號,營養健康的全素蔬食餐廳，餐點吃得到家的味道，於2021榮獲米其林推薦，餐點與環境氛圍典雅樸實。,,
台客燒肉粥,每日11:30–00:00,423890880,南屯區,台中市南屯區五權西路二段722-1號,招牌燒肉粥的湯頭濃郁甘甜，是用當天新鮮的蔬果和大骨熬製而成，喝上一口就能暖到心坎裡。,,
王田鵝肉,每日11:00～19:00，週日、週一公休,04-2693-0510,大肚區,台中市大肚區沙田路一段260號,"王田鵝肉用餐，內用菜單是沒有標上價格的，會根據人數上不同的份量，不過價格十分經濟實惠，鵝肉相當美味又多汁，店家的下水跟米血也是很多人喜歡的。",,
橙黃橘綠咖啡廳 EarlyWinter Cafe,每日09:00～17:00,04-2656-1242,梧棲區,台中市梧棲區中興路67巷28弄46號,從咖啡到無咖啡因飲品、手作甜點到早午餐選擇，餐點水準都很不錯，不妨來這裡放慢節奏，享受放鬆的時光。,,
淺嚐時尚料理廚房,每日11:00～14:00&17:00～21:00，週二公休,04-2535-8511,潭子區,台中市潭子區雅潭路一段51號,主菜除了台式料理之外，還有異國風味的餐點，像是德國豬腳、韓式泡菜燒肉等，另外也還有鍋物的選擇。,,
菇神觀景複合式料理,平日11:00-19:00 / 假日10:30-21:30,04-2582-2585,新社區,台中市新社區協成村協中街287號,菜單上有火鍋、熱炒、下午茶點、飲品，葷素都可選擇。​​推薦店內招牌–原木家傳土雞鍋，享受美食的同時，還能欣賞台中新社山林美景。,,
保正軒 BO JIN IAN,每日11:00～14:00&16:30～20:30,0989-290-482,沙鹿區,台中市沙鹿區東晉路8號,專賣拉麵、咖哩飯與丼飯等等日式餐點，除了美味之外份量也十足，價格也非常親民,,。
老派廚房,週一&週四09:30～15:30、週五&週六09:30～14:30&17:30～20:30（週六提早至09:00開始營業）、週日09:00～16:30（週二、週三公休）,04-2338-4066,烏日區,台中市烏日區三榮路一段366號,老派廚房的餐點多為早午餐與西式的餐點種類，人氣的餐點是德國豬腳和義大利麵,,
阿松担仔麵,每日11:00–21:30，週一公休,0987 529 228,大雅區,台中市大雅區中山北路573號,推薦的菜色有：油飯、滷肉飯、燒肉、滷豆腐、竹筍湯等，燒肉外皮酥脆、香氣十足，一口咬下既有肉汁四溢。,,